hour_of_day,day_of_week,rainfall_mm,visibility_m,distance_to_sangam_km,is_bridge_segment,near_railway_crossing,road_width_category,is_rally,is_protest,is_vip_movement,is_wedding_season,is_mela_bathing_day,is_exam_season,is_market_day,is_railway_crossing_closure,congestion_percent
6,4,22.088396963502646,7386.4928232040265,3.5543454388223514,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.61833357052621
19,0,17.140185853592314,6356.054607546694,11.158322161779285,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.09550710807391
14,0,0.0,2604.925810336078,7.101568017574117,0,0,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,42.16962893321205
10,5,0.0,5181.723346575669,4.42187526011264,1,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,100.0
7,5,17.89423732631857,9284.276822366117,12.02919413612663,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.19093169233295
20,1,0.0,8205.575436742449,10.450704005295425,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,64.00066966869751
6,4,2.3893538710429754,3434.940912868396,14.0600934468705,1,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,49.111415402657386
18,3,0.0,9827.966245150254,2.481624600283166,0,1,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,66.51126856251776
22,6,0.0,7173.61788422077,9.737839269547397,0,0,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,13.949668525841885
10,4,0.0,905.7587499677833,3.6635920213226396,0,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,68.14427574613664
10,1,0.0,641.0589188997951,13.553744779524626,1,0,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,77.83390617606997
23,5,0.0,1933.5571053972908,1.4924912138492352,0,0,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.397215151425304
20,4,0.0,7360.201920086424,9.842427096673157,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,72.97126680264492
3,4,22.64617586725682,2082.2675806715506,11.86628582292045,1,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,72.95964047481333
7,5,0.0,5261.421661325685,5.323767605470608,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,20.12424738004826
23,1,19.12336136153706,1204.623165754068,14.312071190757138,0,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,43.65621757170604
2,5,16.60283102361204,9232.595730952893,12.760960268790559,1,0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,34.15455839279431
21,0,0.0,3636.4179517606053,4.419274495273551,1,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,27.93322212415053
20,3,0.0,9108.880948638118,0.11311639073998014,0,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,97.2689513349871
